constituent_id,type,organization_name,organization_type,first_name,last_name,gender,email,phone,address,city,state,postal_code,creation_date,lifetime_giving,first_gift_date,last_gift_date
1,Organization,Oconnor-Wilkins,Government,,,,melissa34@oconnor-wilkins.com,001-462-751-6482,698 Eddie Stravenue,East Marymouth,IL,03583,2023-01-23,0.0,,
2,Organization,Ponce Ltd,Corporation,,,,qsmith@ponceltd.com,(892)541-6192,31738 Jonathan Mews Apt. 024,East Tammiestad,CA,71166,2022-07-16,0.0,,
3,Organization,Morris-Williams,Small Business,,,,zmiller@morris-williams.com,(205)938-1790,683 Mack Square Apt. 821,Martinmouth,IL,30731,2021-11-30,0.0,,
4,Organization,Roberts PLC,Small Business,,,,stoneaaron@robertsplc.com,9728914861,20552 Thompson Ports,South William,NY,55227,2022-06-18,0.0,,
5,Organization,Schneider Ltd,Foundation,,,,courtneyduncan@schneiderltd.com,001-228-735-9428x8046,125 Joshua Mills,Richardmouth,CA,80503,2022-03-10,0.0,,
6,Organization,"Vasquez, Williams and Griffin",Small Business,,,,"michaelmccall@vasquez,williamsandgriffin.com",+1-810-319-3672x45345,0632 Douglas Inlet Apt. 563,East Danielhaven,CA,04633,2024-07-22,0.0,,
7,Organization,Myers-Delacruz,Government,,,,coryhernandez@myers-delacruz.com,349.585.2401,082 Chapman Tunnel Apt. 767,West Elainefurt,CA,46838,2024-01-12,0.0,,
8,Organization,"Barrett, Smith and Harrison",Foundation,,,,"floresperry@barrett,smithandharrison.com",226-299-0917x1192,81777 Rodney Forges Suite 269,Lake Vicki,NY,24148,2025-01-17,0.0,,
9,Organization,"Andrews, Arnold and Lewis",Small Business,,,,"asweeney@andrews,arnoldandlewis.com",+1-931-718-1149x3343,683 Hancock Parkways Apt. 808,Johnfort,OR,90273,2021-05-16,0.0,,
10,Organization,Rodriguez-Wright,Corporation,,,,roger12@rodriguez-wright.com,296.949.2084,340 Richardson Points Suite 313,Samanthatown,FL,02670,2021-09-06,0.0,,
11,Organization,"Mccormick, Glover and Murphy",Government,,,,"marydean@mccormick,gloverandmurphy.com",340.936.6967x98484,260 Jessica Village Apt. 456,Woodsfurt,NY,90729,2023-11-21,0.0,,
12,Organization,"Jordan, Mooney and Smith",Small Business,,,,"amoore@jordan,mooneyandsmith.com",(724)526-2459x560,56729 Shields Village Suite 827,Holtmouth,MA,99472,2022-08-27,0.0,,
13,Organization,Bray-Perez,Foundation,,,,travis93@bray-perez.com,(251)322-8016x25133,9389 Avery Ports Suite 556,New Davidmouth,IL,58206,2023-11-20,0.0,,
14,Organization,Scott and Sons,Foundation,,,,emily82@scottandsons.com,(483)543-4501,00266 Johnson Drives,South Lori,IL,47220,2024-05-12,0.0,,
15,Organization,"Moore, Jones and Jefferson",Small Business,,,,"sarahpeterson@moore,jonesandjefferson.com",643.985.6152,260 Thomas Glens,Port Gabriela,FL,73311,2024-04-20,0.0,,
16,Organization,Giles-Scott,Corporation,,,,holmesmiguel@giles-scott.com,(383)361-1827x8219,07164 Anderson Pike Apt. 216,West John,TX,16194,2024-01-07,0.0,,
17,Organization,"Foster, Woodward and Singh",Government,,,,"jason64@foster,woodwardandsingh.com",9495676717,2833 Rebecca Underpass,East David,NY,84639,2021-01-08,0.0,,
18,Organization,Anderson Inc,Foundation,,,,david84@andersoninc.com,8793935100,1162 Murphy Mountains Apt. 863,Foleychester,IL,90322,2024-10-06,0.0,,
19,Organization,"Donovan, Price and Smith",Foundation,,,,"david75@donovan,priceandsmith.com",794-918-3016,46021 Patrick Coves,Lake Ricky,IL,02181,2021-11-05,0.0,,
20,Organization,Fisher-Rivera,Foundation,,,,afisher@fisher-rivera.com,3219570407,01227 Johnson Island Suite 556,Bakermouth,IL,56073,2021-05-11,0.0,,
21,Organization,Burns Ltd,Corporation,,,,morganamy@burnsltd.com,958.548.5251x1767,35756 Dodson Court Apt. 570,Lake Benjamin,FL,49421,2023-08-19,0.0,,
22,Organization,"Smith, Cochran and Carter",Foundation,,,,"pholder@smith,cochranandcarter.com",(235)555-6337,372 Sherry Station,Taylormouth,NY,68213,2023-12-29,0.0,,
23,Organization,Mendez-Morris,Small Business,,,,mooremonica@mendez-morris.com,001-915-596-9585x36163,28511 Thomas Tunnel,New Melissa,NY,63162,2024-05-18,0.0,,
24,Organization,Ramirez-Cook,Small Business,,,,andrademichelle@ramirez-cook.com,980.259.3019x23547,819 Kristen Forge,Prattmouth,CA,68308,2024-09-26,0.0,,
25,Organization,"Rodriguez, Grimes and Oliver",Corporation,,,,"derrick69@rodriguez,grimesandoliver.com",001-937-652-6525x376,1362 Catherine Stream,Toddmouth,OR,56595,2022-02-27,0.0,,
26,Organization,Orr LLC,Government,,,,amysmith@orrllc.com,9523224681,1996 Emily Walks Apt. 025,East Johnborough,NY,86266,2023-11-01,0.0,,
27,Organization,Valdez Group,Small Business,,,,elizabethhuff@valdezgroup.com,(241)605-5714x0345,076 Smith Crescent Apt. 891,Websterville,NY,84545,2022-09-07,0.0,,
28,Organization,Davis-Meza,Corporation,,,,vjones@davis-meza.com,+1-309-785-0368,4072 Paul Heights Apt. 911,New Joseph,MA,90623,2025-06-23,0.0,,
29,Organization,Cruz PLC,Government,,,,sbruce@cruzplc.com,501-411-3203,513 Kimberly Knolls Apt. 734,Curtisborough,MA,55873,2021-07-22,0.0,,
30,Organization,Patrick-Willis,Corporation,,,,xsanchez@patrick-willis.com,449.866.8105x14484,416 Scott Lodge Apt. 888,Paulburgh,TX,44378,2025-04-28,0.0,,
31,Organization,Allen LLC,Corporation,,,,wardjohn@allenllc.com,001-225-907-9518,24938 Walker Valley Apt. 872,West Charlestown,NY,23984,2024-08-23,0.0,,
32,Organization,Baird Inc,Foundation,,,,yangxavier@bairdinc.com,995-410-1462x74764,68656 Small Alley,Christyview,FL,01528,2021-10-31,0.0,,
33,Organization,Salinas-Moore,Foundation,,,,hogansierra@salinas-moore.com,+1-867-673-3849,615 Vincent Tunnel,Lake Phillip,IL,94605,2021-04-13,0.0,,
34,Organization,"Anderson, Cooper and Williams",Small Business,,,,"hurstjoseph@anderson,cooperandwilliams.com",669.904.5923,8853 Roy Cape,New Bradleyview,TX,53224,2024-05-05,0.0,,
35,Organization,Mcclain-Miller,Corporation,,,,nhuber@mcclain-miller.com,224.208.2576,99894 Romero Streets,South Brandon,CA,75632,2023-09-04,0.0,,
36,Organization,Mccormick Inc,Government,,,,uwilson@mccormickinc.com,251-250-3018x662,075 Conrad Throughway Apt. 074,Maddoxton,CA,58631,2024-05-03,0.0,,
37,Organization,Nicholson PLC,Corporation,,,,jeffrey51@nicholsonplc.com,(962)617-5579,13245 Dylan Springs Apt. 486,South Nathan,CA,71833,2023-06-11,0.0,,
38,Organization,"Smith, Rodriguez and Reynolds",Foundation,,,,"jenkinsjoshua@smith,rodriguezandreynolds.com",001-729-391-9968,0334 Colleen Avenue,Hernandezburgh,IL,49115,2024-02-14,0.0,,
39,Organization,Duran PLC,Government,,,,mrojas@duranplc.com,+1-633-789-0636x23116,93774 Diaz Camp,Amyburgh,NY,35803,2022-01-05,0.0,,
40,Organization,Stout-Lee,Foundation,,,,hernandezfrank@stout-lee.com,836.604.0252,46863 Mills Glen Suite 090,North Monicaburgh,MA,11999,2024-07-22,0.0,,
41,Organization,Martinez-Wheeler,Small Business,,,,pagedavid@martinez-wheeler.com,001-827-682-2452x00583,83907 Wheeler Roads Apt. 764,East Riley,WA,42152,2023-03-31,0.0,,
42,Organization,Green and Sons,Corporation,,,,brent17@greenandsons.com,530-613-7896x71581,7254 Williams Prairie,Lake Valerieville,CA,58612,2023-02-24,0.0,,
43,Organization,"Wheeler, Nelson and Orr",Foundation,,,,"cannonjames@wheeler,nelsonandorr.com",9483144750,7080 Scott Isle,South John,OR,36290,2023-08-28,0.0,,
44,Organization,"Mendoza, Berg and Lester",Corporation,,,,"robertsonshannon@mendoza,bergandlester.com",4563219148,1876 Benton Port Apt. 621,Jaredville,CA,31157,2022-08-18,0.0,,
