household_id,name,constituent_id,primary_constituent_id,is_primary,address,city,state,postal_code,creation_date
1,Laura Garcia & Jeanette Walters,751,751,True,620 Kevin Garden,Lake Joshua,CA,13348,2024-10-21
1,Laura Garcia & Jeanette Walters,755,751,False,620 Kevin Garden,Lake Joshua,CA,13348,2024-10-21
1,Laura Garcia & Jeanette Walters,756,751,False,620 Kevin Garden,Lake Joshua,CA,13348,2024-10-21
2,Michael Mckenzie & Jennifer Mcclure,752,752,True,8518 David Dam Apt. 634,West Allisonburgh,CA,74841,2024-07-09
2,Michael Mckenzie & Jennifer Mcclure,760,752,False,8518 David Dam Apt. 634,West Allisonburgh,CA,74841,2024-07-09
3,Christian & Keith Garcia,753,753,True,52850 Thomas Junctions,Hermanbury,TX,61301,2023-11-27
3,Christian & Keith Garcia,759,753,False,52850 Thomas Junctions,Hermanbury,TX,61301,2023-11-27
3,Christian & Keith Garcia,761,753,False,52850 Thomas Junctions,Hermanbury,TX,61301,2023-11-27
3,Christian & Keith Garcia,762,753,False,52850 Thomas Junctions,Hermanbury,TX,61301,2023-11-27
4,Mr. James Benson,754,754,True,32862 Ashley Via Apt. 116,Marshallport,FL,97115,2022-03-25
5,Tiffany & Paul Murillo,757,757,True,263 Garcia Dam,New Jeffrey,CA,18715,2024-06-23
5,Tiffany & Paul Murillo,765,757,False,263 Garcia Dam,New Jeffrey,CA,18715,2024-06-23
6,Jennifer Hayes & Dustin Campbell,758,758,True,865 Watson View,West Thomastown,NY,86459,2024-09-26
6,Jennifer Hayes & Dustin Campbell,764,758,False,865 Watson View,West Thomastown,NY,86459,2024-09-26
7,Todd & Christopher Combs,763,763,True,517 George Loaf,Jenniferview,CA,86420,2023-01-11
7,Todd & Christopher Combs,767,763,False,517 George Loaf,Jenniferview,CA,86420,2023-01-11
8,Tammy & Ashley Castillo,766,766,True,8002 Kristy Light,New Jonathan,NY,27607,2023-09-23
8,Tammy & Ashley Castillo,768,766,False,8002 Kristy Light,New Jonathan,NY,27607,2023-09-23
8,Tammy & Ashley Castillo,769,766,False,8002 Kristy Light,New Jonathan,NY,27607,2023-09-23
8,Tammy & Ashley Castillo,770,766,False,8002 Kristy Light,New Jonathan,NY,27607,2023-09-23
8,Tammy & Ashley Castillo,771,766,False,8002 Kristy Light,New Jonathan,NY,27607,2023-09-23
9,Shawn & Brian Duran,772,772,True,770 Alexander Shoal Apt. 867,Warrenshire,CA,86911,2022-04-23
9,Shawn & Brian Duran,787,772,False,770 Alexander Shoal Apt. 867,Warrenshire,CA,86911,2022-04-23
10,Joseph Porter & Tammy Moore,773,773,True,10866 Mark Parkways,Mitchellshire,MA,22718,2025-01-08
10,Joseph Porter & Tammy Moore,777,773,False,10866 Mark Parkways,Mitchellshire,MA,22718,2025-01-08
10,Joseph Porter & Tammy Moore,778,773,False,10866 Mark Parkways,Mitchellshire,MA,22718,2025-01-08
11,Robert & Christopher Patel,774,774,True,4736 Stephanie Pass Apt. 072,Christinamouth,TX,81739,2025-05-27
11,Robert & Christopher Patel,782,774,False,4736 Stephanie Pass Apt. 072,Christinamouth,TX,81739,2025-05-27
11,Robert & Christopher Patel,783,774,False,4736 Stephanie Pass Apt. 072,Christinamouth,TX,81739,2025-05-27
12,William & Joseph Day,775,775,True,22759 Donna Green Suite 342,North David,FL,82814,2023-02-16
12,William & Joseph Day,780,775,False,22759 Donna Green Suite 342,North David,FL,82814,2023-02-16
12,William & Joseph Day,781,775,False,22759 Donna Green Suite 342,North David,FL,82814,2023-02-16
13,Mr. John Johnson,776,776,True,6517 Michael Street Apt. 249,Port Marcville,WA,35527,2022-07-12
14,Ricky & Thomas Hayes,779,779,True,40284 Richard Village,East Andrewfort,TX,61812,2024-08-05
14,Ricky & Thomas Hayes,784,779,False,40284 Richard Village,East Andrewfort,TX,61812,2024-08-05
14,Ricky & Thomas Hayes,785,779,False,40284 Richard Village,East Andrewfort,TX,61812,2024-08-05
14,Ricky & Thomas Hayes,786,779,False,40284 Richard Village,East Andrewfort,TX,61812,2024-08-05
14,Ricky & Thomas Hayes,788,779,False,40284 Richard Village,East Andrewfort,TX,61812,2024-08-05
15,Jessica & Sarah Anderson,789,789,True,286 Christensen Ranch,Franciscoborough,WA,67299,2025-02-01
15,Jessica & Sarah Anderson,793,789,False,286 Christensen Ranch,Franciscoborough,WA,67299,2025-02-01
15,Jessica & Sarah Anderson,794,789,False,286 Christensen Ranch,Franciscoborough,WA,67299,2025-02-01
16,Frances & Amber Reed,790,790,True,591 Annette Valleys,North Joshua,IL,97853,2021-08-23
16,Frances & Amber Reed,797,790,False,591 Annette Valleys,North Joshua,IL,97853,2021-08-23
17,Mrs. Evelyn Ritter,791,791,True,402 Evans Pass,Hillmouth,NY,53762,2023-05-25
18,Robert & Charles Patterson,792,792,True,180 Christopher Islands Apt. 523,North Phillip,CA,79382,2021-10-24
18,Robert & Charles Patterson,801,792,False,180 Christopher Islands Apt. 523,North Phillip,CA,79382,2021-10-24
18,Robert & Charles Patterson,802,792,False,180 Christopher Islands Apt. 523,North Phillip,CA,79382,2021-10-24
19,Mr. Edward Leonard,795,795,True,256 Aaron Stravenue,Thomasmouth,OR,94239,2023-08-31
20,Teresa & Xavier Valdez,796,796,True,95516 Kathleen Stream Apt. 067,Simmonsshire,CA,32101,2025-05-26
